Yemen434 | Name: Yemen | Department: Administration | Leave Balance: 30
Hannah253 | Name: Hannah | Department: Technical | Leave Balance: 7
James212 | Name: James | Department: Management | Leave Balance: 4
John856 | Name: John | Department: Technical | Leave Balance: 30
Junior930 | Name: Junior | Department: Academic | Leave Balance: 25
Adam1021 | Name: Adam | Department: Management | Leave Balance: 30
Adeel862 | Name: Adeel | Department: Administration | Leave Balance: 27
Matthew102 | Name: Matthew | Department: Management | Leave Balance: 30
Brown917 | Name: Brown | Department: Technical | Leave Balance: 30
Joshua816 | Name: Joshua | Department: Management | Leave Balance: 27
Tariq738 | Name: Tariq | Department: Technical | Leave Balance: 30
Kira191 | Name: Kira | Department: Management | Leave Balance: 30
Malik1174 | Name: Malik | Department: Administration | Leave Balance: 30
Michelle466 | Name: Michelle | Department: Academic | Leave Balance: 30
Takiyah486 | Name: Takiyah | Department: Administration | Leave Balance: 30
Meghna1146 | Name: Meghna | Department: Administration | Leave Balance: 30
